proj_name,countries,max_country,world_region
1994_december_8_642361468253791186_jordan--agriculture-sector-technical-support-project-_-loan-3818--loan-agreement--conformed.txt,"[['jordan', 'united states'], [8, 1]]",jordan,near east
1994_march_24_717031468233074159_egypt--agricultural-modernization-project-_-loan-3719--loan-agreement--conformed.txt,"[['egypt', 'united states'], [6, 1]]",egypt,northern africa
1995_june_29_631351468020068151_brazil--rural-poverty-alleviation-project--bahia-_-loan-3917--loan-agreement--conformed.txt,"[['brazil', 'iran', 'united states'], [4, 3, 1]]",brazil,latin amer. & carib
1995_august_29_902831468299951112_morocco--emergency-drought-recovery-project-_-loan-3935--loan-agreement--conformed.txt,"[['france', 'morocco', 'united states'], [1, 4, 2]]",morocco,northern africa
2019_october_24_126261574264006073_official-documents-additional-financing-agreement-for-loan-9008-ar-closing-package.txt,"[['argentina', 'jordan', 'united states'], [1, 1, 2]]",united states,northern america
2012_october_31_166731468212963508_official-documents-loan-agreement-for-loan-8168-br-closing-package.txt,"[['brazil', 'united states'], [5, 1]]",brazil,latin amer. & carib
1995_july_20_576451469672147289_conformed-copy--l3686--roads-rehabilitation-project--loan-agreement.txt,"[['argentina', 'united states'], [2, 1]]",argentina,latin amer. & carib
1993_december_21_133961468299950776_morocco--services-project-_-loan-3688--loan-agreement--conformed.txt,"[['morocco', 'united states'], [4, 1]]",morocco,northern africa
1995_march_23_677901468010500558_argentina--second-municipal-development-project-_-loan-3860--loan-agreement--conformed.txt,"[['argentina', 'united states'], [3, 1]]",argentina,latin amer. & carib
1995_june_15_726181468282873956_indonesia--fourth-health-project-_-loan-3905--loan-agreement--conformed.txt,"[['indonesia', 'united states'], [5, 3]]",indonesia,asia (ex. near east)
1994_june_7_672341468087250877_philippines--leyte-luzon-geothermal-project-phoc-_-loan-3747--loan-agreement--conformed.txt,"[['japan', 'mali', 'philippines', 'united states'], [1, 1, 2, 1]]",philippines,asia (ex. near east)
1991_june_4_945761468241166650_china--irrigated-agriculture-intensification-project-_-credit-2256--loan-agreement--conformed.txt,"[['china', 'united states'], [4, 1]]",china,asia (ex. near east)
1994_september_6_814821468005999835_brazil--ceara-urban-development-and-water-resource-management-project-_-loan-3789--loan-agreement--conformed.txt,"[['brazil', 'united states'], [12, 1]]",brazil,latin amer. & carib
1994_july_7_371001468249679231_gabon--transport-sector-technical-assistance-project-_-loan-3777--loan-agreement--conformed.txt,"[['france', 'gabon', 'united states'], [1, 9, 1]]",gabon,sub-saharan africa
1994_december_22_168961468248656295_egypt--irrigation-improvement-project-_-loan-3832--loan-agreement--conformed.txt,"[['egypt', 'united states'], [4, 1]]",egypt,northern africa
1994_june_21_849861468260636772_indonesia--sumatera-and-kalimantan-power-project-_-loan-3761--loan-agreement--conformed.txt,"[['australia', 'austria', 'indonesia', 'japan', 'peru', 'united states'], [1, 5, 3, 1, 2, 1]]",austria,western europe
1990_december_4_833971468016863921_china--rural-industrial-technology-_-credit-2186--loan-agreement--conformed.txt,"[['china', 'united states'], [6, 2]]",china,asia (ex. near east)
1995_january_19_969191468247450474_estonia--health-project-_-loan-3835--loan-agreement--conformed.txt,"[['estonia', 'united states'], [6, 1]]",estonia,baltics
1994_may_26_984471468025512148_estonia--district-heating-rehabilitation-project-_-loan-3740--loan-agreement--conformed.txt,"[['estonia', 'united states'], [5, 2]]",estonia,baltics
2014_may_6_332701468253737835_official-documents-loan-agreement-for-loan-8356-jm-closing-package.txt,"[['jamaica', 'russia', 'united states'], [9, 1, 1]]",jamaica,latin amer. & carib
1994_april_5_948001468058135663_romania--petroleum-sector-rehabilitation-project-_-loan-3723--loan-agreement--conformed.txt,"[['oman', 'romania', 'united states'], [4, 3, 1]]",oman,near east
2019_march_13_585161553546495716_official-documents-loan-agreement-for-loan-8920-pe-closing-package.txt,"[['peru', 'united states'], [3, 1]]",peru,latin amer. & carib
1994_december_8_665871468281047823_moldova--structural-adjustment-loan-_-loan-3815--loan-agreement--conformed.txt,"[['moldova', 'united states'], [7, 1]]",moldova,c.w. of ind. states
1994_may_19_844831468090880889_romania--industrial-development-project-_-loan-3735--loan-agreement--conformed.txt,"[['oman', 'romania', 'united states'], [9, 8, 1]]",oman,near east
2019_september_25_810411569965213165_official-documents-loan-agreement-for-loan-8985-sr-closing-package.txt,"[['suriname', 'united states'], [11, 1]]",suriname,latin amer. & carib
2017_october_30_373211511198035503_official-documents-loan-agreement-for-loan-8780-in-closing-package.txt,"[['india', 'united states'], [8, 1]]",india,asia (ex. near east)
1994_march_15_102981468237290672_brazil--piaui-state-highway-management-project-_-loan-3713--loan-agreement--conformed.txt,"[['brazil', 'united states'], [9, 1]]",brazil,latin amer. & carib
2013_december_12_834031468224425505_official-documents-loan-agreement-for-loan-8201-br-closing-package.txt,"[['brazil', 'united states'], [5, 1]]",brazil,latin amer. & carib
1995_june_22_306591468282874266_indonesia--second-technical-assistance-project-for-private-provision-of-infrastructure-_-loan-3913--loan-agreement--conformed.txt,"[['indonesia', 'united states'], [5, 1]]",indonesia,asia (ex. near east)
2018_july_23_476201533674689452_official-documents-loan-agreement-for-loan-8810-ar-closing-package.txt,"[['argentina', 'united states'], [3, 1]]",argentina,latin amer. & carib
2012_november_5_787801468253229543_official-documents-loan-agreement-for-loan-8136-in-closing-package.txt,"[['india', 'united states'], [8, 1]]",india,asia (ex. near east)
"2013_april_16_572311468053084618_official-documents-loan-agreement,-l8240-ma-closing-package.txt","[['morocco', 'united states'], [4, 1]]",morocco,northern africa
1995_may_23_587431468269438409_indonesia--book-and-reading-development-project-_-loan-3887--loan-agreement--conformed.txt,"[['indonesia', 'oman', 'united states'], [5, 1, 3]]",indonesia,asia (ex. near east)
