,x,y
"2009_may_25_541841468295185392_additional-financing,-loan-agreement,-l7673-ph-conformed.txt",-5.531022,-15.014371
"2005_july_15_787021468025772393_loan-agreement,-l7313-co-conformed.txt",-8.49755,-21.350252
1994_september_28_474971468114234692_conformed-copy--l3802--second-health-project--loan-agreement.txt,-47.864044,-29.856726
2015_june_29_799591468249013159_official-documents-loan-agreement-for-loan-8505-ec-closing-package.txt,39.433685,-7.4836454
"2004_june_11_427191468338059326_loan-agremeent,-l4737-tr--conformed.txt",-41.444206,-27.785082
2008_december_19_408861468241179968_loan-agreement-l7621-co-conformed.txt,-33.340427,43.737
"2014_september_23_501161468020094883_official-documents-loan-agreement,-l8376-br-closing-package.txt",-14.990118,65.760315
2001_february_9_265411468020646219_conformed-copy--l4589--water-conservation-project--loan-agreement.txt,18.685612,-22.270761
2010_november_4_312391468024618504_loan-agreement-for-loan-7927-eg-conformed.txt,55.114597,21.077536
2018_april_29_271471525983603388_official-documents-loan-agreement-for-loan-8796-iq-closing-package.txt,28.392973,-5.8694587
1990_september_24_975141468110676652_conformed-copy--l3255--employment-and-training-fund-project--loan-agreement.txt,-38.23014,-11.476329
2014_november_19_558781468003558232_official-documents-loan-agreement-for-loan-8450-am-closing-package.txt,-37.665245,57.353497
2007_march_28_966371468302358001_loan-agreement-l7421-uy-conformed.txt,-29.36605,-30.7673
2018_march_5_530481525209855749_official-documents-loan-agreement-for-loan-8800-cn-closing-package.txt,-1.2627363,64.04271
2017_december_21_981971515618353727_official-documents-loan-agreement-for-loan-8706-ar-closing-package.txt,31.730062,-23.952957
2010_october_7_345981468308097418_loan-agreement-for-laon-7921-tn-conformed.txt,3.8549302,-22.562876
1990_march_16_199991468095349240_conformed-copy--l3163--energy-sector-project--npc-loan-agreement.txt,41.748425,21.799051
2010_september_27_799281468230062142_loan-agreement-for-loan-7837-br-conformed.txt,18.565075,-66.885475
2018_march_2_112931521053253824_official-documents-loan-agreement-for-additional-financing-loan-8816-ph-closing-package.txt,2.5758748,-17.831387
1993_june_9_233061468030846918_conformed-copy--l3491--second-road-upgrading-project--loan-agreement.txt,19.868244,-68.2171
2018_september_17_220401539970423950_official-documents-loan-agreement-for-loan-8890-cn-closing-package.txt,-22.19998,68.58924
2007_july_27_110511468304781715_loan-agreement-loan-7465-yf-conformed.txt,-4.986115,-18.027828
2014_july_10_373571468302677177_official-documents-loan-agreement-for-loan-8371-tr-closing-package.txt,63.491222,20.004213
2011_march_18_800231468250258944_loan-agreement-for-loan-8010-id-conformed.txt,-57.49877,0.82478666
"2013_june_7_503831468103752390_official-documents-loan-agreement,-l8264-tr-closing-package.txt",-13.614246,66.09801
2004_march_9_824651468032634958_conformed-copy--l7216--financial-sector-technical-assistance-project--loan-agreement.txt,-27.972637,13.700426
1996_september_20_409811468094784008_conformed-copy--l4032--bielsko-biala-water-and-wastewater-project--loan-agreement.txt,43.861313,-5.5135083
2000_august_10_472421468223191843_conformed-copy--l4570--yangtze-dike-strengthening-project--loan-agreement.txt,42.58485,-24.652542
2003_june_18_767621468016766159_conformed-copy--l4703--district-heating-project--loan-agreement.txt,46.340782,21.517977
1990_june_4_230091468332700242_conformed-copy--l3204--small-coconut-farms-development-project--loan-agreement.txt,10.282827,-31.995125
"2013_june_28_140281468026069256_official-documents-loan-agreement,-l8083-co-closing-package.txt",21.523613,-52.45718
1995_april_28_798531468095351006_conformed-copy--l3852--women_s-health-_-safe-motherhood-project--loan-agreement.txt,-35.665314,-28.909084
"2009_january_13_272981468009314492_loan-agreement,-l7572-ar-conformed.txt",-29.57573,8.180109
1995_october_24_748951468208173546_argentina--forestry-development-project-_-loan-3948--loan-agreement--conformed.txt,4.615691,-29.234232
"2008_december_4_541481468276325045_loan-agreement,-l7573-jo-conformed.txt",31.944626,1.8904613
2000_april_18_811741468115157894_conformed-copy--l7005--health-sector-management-project--loan-agreement.txt,-45.111336,-21.387177
1994_january_25_455341468130211704_uruguay--natural-resources-management-and-irrigation-development-project-_-loan-3697--loan-agreement--conformed.txt,10.78313,-24.441078
1993_april_16_741361468287425855_conformed-copy--l3578--education-sector-development-project--loan-agreement.txt,-64.922485,-4.315373
2014_march_17_423451468260077331_official-documents-loan-agreement-for-loan-8336-id-closing-package.txt,-2.7390492,-27.656866
2000_december_21_362341468338445006_conformed-copy--l4587--privatization-social-support-project--loan-agreement.txt,-40.323242,-7.5336585
2000_june_28_317821468105274842_conformed-copy--l7015--podhale-geothermal-district-heating-and-environment-project--loan-agreement.txt,40.778755,26.450417
2010_march_30_411891467992803909_loan-agreement-for-loan-7843-ar-conformed.txt,-31.02892,-30.547009
2018_october_12_220221540311015427_official-documents-loan-agreement-for-additional-financing-loan-8836-co-closing-package.txt,-62.690804,3.9525437
2003_september_23_895261468055479236_conformed-copy--l7188--e-business-for-small-business-development-project--loan-agreement.txt,-22.447105,5.2953043
"2009_june_5_951641468253252841_additional-financing,-loan-agreement,-l7694-in-conformed.txt",-9.588601,25.716528
1995_november_30_242591468038055881_el-salvador--basic-education-modernization-project-_-loan-3945--loan-agreement--conformed.txt,-71.67815,-1.671885
2009_june_11_345301468026058559_loan-agreement-l7686-cr-conformed.txt,-30.63419,57.534073
1992_june_25_346391468302442522_conformed-copy--l3323--debt-and-debt-service-reduction-project--loan-agreement.txt,-6.8887167,68.31024
2003_august_26_378721468297553634_conformed-copy--l4717--irrigaton-rehabilitation-and-reform-project--loan-agreement.txt,18.377748,-18.930912
2009_september_16_639671468297289539_loan-agrement-for-loan-4888-ru-conformed.txt,-4.1270204,0.9510559
2010_november_24_263871468250260209_loan-agreement-for-loan-7974-id-conformed.txt,-29.439497,42.494392
2009_september_1_180951467999344534_loan-agreement-for-l7706-ar-conformed.txt,25.988152,-16.176788
"2014_march_12_983421468262541806_official-documents-loan-agreement,-l8329-jm-closing-package.txt",-34.657307,-2.3652508
2019_november_28_859161577483616466_official-documents-loan-agreement-for-additional-financing-loan-9020-yf-closing-package.txt,-12.48907,3.9063668
2000_october_27_642331468261232646_conformed-copy--l4582--trade-and-transport-facilitation-in-southeast-europe-project--loan-agreement.txt,14.61323,-43.99339
2009_september_18_706681468030572547_loan-agreement-for-loan-7741-ge--east-west-highway-improvement-3--conformed.txt,20.031166,-65.429955
"2008_july_21_979961468088770003_loan-agreement,-l7532-mk-conformed.txt",5.4108686,-67.76239
1991_july_3_369791468145482393_conformed-copy--l3363--technical-assistance-and-critical-imports-project--loan-agreement.txt,29.860914,10.160355
1994_march_1_374391468010195300_argentina--capital-market-development-project-_-loan-3709--loan-agreement--conformed.txt,-2.4193468,27.184147
"2007_november_9_162061468318024761_loan-agreement,-l4868-ua-conformed.txt",62.17034,18.640882
"2004_july_17_682281468284375656_loan-agreement,-l4738-ir--ir-ahwaz-_-shiraz-water-supply-and-sanitation-project--conformed.txt",42.54078,-9.6135435
2014_may_27_787071468052162276_official-documents-loan-agreement-for-loan-8397-ma-closing-package.txt,36.55574,-9.792126
2015_september_16_753771468306922905_official-documents-loan-agreement-for-loan-8537-ua-closing-package.txt,-12.342281,66.117584
2007_may_18_159441468032109159_loan-agreement-l7357-gt-conformed.txt,-36.060543,-25.878473
2018_august_1_571701533652733733_official-documents-loan-agreement-for-loan-8892-ro-closing-package.txt,14.936219,3.6825228
2010_june_24_326801468107352724_loan-agreeemnt-for-loan-7919-lc-conformed.txt,-26.62301,43.130936
"2009_april_17_307581468248950372_loan-agreement,-l7638-hr-conformed.txt",26.919115,-45.32022
2017_may_22_415241496780518663_official-documents-scf-loan-agreement-for-tf019211.txt,-10.784699,-1.6098616
